Nb_Inst.,ALL_REG,ALL_LUT,ALL_BRAM,ALL_URAM,ALL_DSP,ALL_RAMLUT,ALL_LUT6,Module,REG,LUT,BRAM,URAM,DSP,RAMLUT,LUT6,HLUT,HLUT(raw),HREG,Nb_IOs
3,0,0,0,0,0,0,0,mss_bus_switch_ibpx2ibpy_0001,0,0,0,0,0,0,0,5025,3672,3995,1166
3,1701,6765,3,0,0,0,2766,mss_bus_switch_ibpw2ibpn_0000,567,2255,1,0,0,0,922,5025,3672,3995,1166
3,0,6,0,0,0,0,0,mss_bus_switch_ibp_dw32_mst,0,2,0,0,0,0,0,8840,6705,6370,1533
3,0,1560,0,0,0,0,0,mss_bus_switch_ibp2ibps,0,520,0,0,0,0,0,1906,1538,1103,1156
2,1100,4490,2,0,0,0,1814,mss_bus_switch_ibpw2ibpn_0000,550,2245,1,0,0,0,907,5015,3670,3979,1165
2,37156,40534,2,64,0,0,1064,fpga_sram_0002_0000,18578,20267,1,32,0,0,532,20267,3443,18578,123
2,0,0,0,0,0,0,0,mss_bus_switch_ibpx2ibpy_0001,0,0,0,0,0,0,0,5015,3670,3979,1165
2,0,12,0,0,0,0,0,dccm_ram,0,6,0,0,0,0,0,20273,3449,18578,124
1,2,1,1,0,0,0,1,zebu_axi_xtor,2,1,1,0,0,0,1,24478,11989,30809,1229
1,2,9,1,0,0,0,2,rl_exu,2,9,1,0,0,0,2,8711,7718,2879,1783
1,3,3,1,0,0,0,1,rl_cpu_top,3,3,1,0,0,0,1,31801,29016,8609,1237
1,4,4,1,0,0,0,1,rl_cpu_top,4,4,1,0,0,0,1,32240,29162,8976,1551
1,0,1,0,0,0,0,0,mss_bus_switch_ibp_dw32_mst,0,1,0,0,0,0,0,8796,6671,6354,1473
1,0,1,0,0,0,0,0,mss_bus_switch_ibp_dw32_mst,0,1,0,0,0,0,0,8793,6668,6354,1469
1,0,2,0,0,0,0,0,mss_bus_switch_ibp_dw128_mst,0,2,0,0,0,0,0,17183,13257,12034,1863
1,0,521,0,0,0,0,0,mss_bus_switch_ibp2ibps,0,521,0,0,0,0,0,1898,1530,1103,1148
1,0,538,0,0,0,0,0,mss_bus_switch_dw512_slv,0,538,0,0,0,0,0,4528,4000,1715,3687
1,0,521,0,0,0,0,0,mss_bus_switch_ibp2ibps,0,521,0,0,0,0,0,1899,1531,1103,1149
1,0,0,0,0,0,0,0,mss_bus_switch_ibpx2ibpy_0001_0000,0,0,0,0,0,0,0,2313,1564,2210,1272
1,0,0,0,0,0,0,0,core_chip,0,0,0,0,0,0,0,260713,166463,180055,51
1,0,0,0,0,0,0,0,rl_srams,0,0,0,0,0,0,0,62508,10916,57700,620
1,0,0,0,0,0,0,0,archipelago,0,0,0,0,0,0,0,131264,73025,77534,787
1,0,0,0,0,0,0,0,core_sys,0,0,0,0,0,0,0,260710,166458,180052,53
1,0,520,0,0,0,0,0,mss_bus_switch_ibp2ibps,0,520,0,0,0,0,0,1917,1549,1103,1166
1,0,6,0,0,0,0,0,iccm0_ram,0,6,0,0,0,0,0,20273,3449,18578,124
1,9,304,1,0,0,0,43,alb_mss_mem,9,304,1,0,0,0,43,7690,6339,4629,374
1,13000,11598,1,0,0,2104,2423,xtor_amba_master_axi3_svs,13000,11598,1,0,0,2104,2423,24478,11989,30808,1231
1,846,2485,1,0,0,0,930,rl_csr,846,2485,1,0,0,0,930,2485,2202,846,1419
1,0,1630,0,0,0,0,601,mss_bus_switch_ibp_split_0000_0000,0,1630,0,0,0,0,601,3494,3022,1445,3688
1,18578,20267,1,32,0,0,532,fpga_sram_0002,18578,20267,1,32,0,0,532,20267,3443,18578,123
1,425,880,1,0,0,0,396,mss_bus_switch_ibpw2ibpn_0001,425,880,1,0,0,0,396,2313,1564,2210,1272
1,0,735,0,0,0,0,293,mss_bus_switch_ibp_compr_0000_0000,0,735,0,0,0,0,293,2282,1878,1244,1007
1,235,1104,1,0,0,0,278,rl_dmp,235,1104,1,0,0,0,278,4323,4054,814,1342
1,235,1104,1,0,0,0,278,rl_dmp,235,1104,1,0,0,0,278,4335,4088,816,1377
1,39,56,1,0,0,0,56,alb_mss_fpga_sram_0000,39,56,1,0,0,0,56,56,22,39,330
1,2,115,0,0,0,0,47,cpu_top_safety_controller,2,115,0,0,0,0,47,65387,59493,17770,1470
1,4091,391,0,0,0,0,2,zemi3OutPortBuffer_169_4096_24,4091,391,0,0,0,0,2,391,272,4091,4119
1,71,1107,0,0,0,0,35,alb_mss_fab,71,1107,0,0,0,0,35,88367,67727,61995,2569
1,73,54,1,0,0,0,23,zebu_top,73,54,1,0,0,0,23,314608,188897,236647,0
1,0,55,0,0,0,0,13,alb_mss_bus_switch,0,55,0,0,0,0,13,74421,57484,51403,2476
1,2,23,1,0,0,0,6,alb_mss_mem_model,2,23,1,0,0,0,6,78,39,41,331
1,0,14,0,0,0,0,5,rl_ifu,0,14,0,0,0,0,5,3297,3031,893,1194
1,0,14,0,0,0,0,5,rl_ifu,0,14,0,0,0,0,5,3333,3067,900,1231
1,6,4,1,0,0,0,3,rl_core,6,4,1,0,0,0,3,28761,26150,7871,1634
1,11,9,1,0,0,0,3,rl_core,11,9,1,0,0,0,3,29196,26295,8233,1944
