,U0/M0/F00,U0/M0/F01,U0/M0/F02,U0/M0/F03,U0/M0/F04,U0/M0/F05,U0/M0/F06,U0/M0/F07,U0/M0/F08,U0/M0/F09,U0/M0/F10,U0/M0/F11,
U0/M0/F00,,5,110,66,22,22,66,21,22,66,22,22,
U0/M0/F01,35,,110,22,88,22,21,88,22,22,88,22,
U0/M0/F02,0,0,,22,22,99,22,22,99,22,22,99,
U0/M0/F03,0,0,0,,110,110,66,22,22,66,21,22,
U0/M0/F04,0,0,0,0,,110,22,88,22,21,88,22,
U0/M0/F05,0,0,0,0,0,,22,22,99,22,22,99,
U0/M0/F06,0,0,0,0,0,0,,110,110,66,22,22,
U0/M0/F07,0,0,0,0,0,0,0,,110,22,88,22,
U0/M0/F08,0,0,0,0,0,0,0,0,,22,22,99,
U0/M0/F09,0,0,0,0,0,0,0,0,0,,110,110,
U0/M0/F10,0,0,0,0,0,0,0,0,0,0,,110,
